source;hyperlink;locality;postcode;house_is;property_subtype;price;sale;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has
7;https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/8913623;brakel;9660;TRUE;house;274000;None;3;152;TRUE;FALSE;TRUE;FALSE;None;FALSE;None;None;508;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/meise-wolvertem/1861/8958334;meise-wolvertem;1861;TRUE;house;485000;None;3;200;FALSE;FALSE;FALSE;TRUE;23;TRUE;450;None;600;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/8958332;kraainem;1950;TRUE;house;770000;None;5;280;TRUE;FALSE;FALSE;TRUE;None;TRUE;40;None;200;3;FALSE
7;https://www.immoweb.be/en/classified/mansion/for-sale/liege-2/4020/8950972;liege-2;4020;TRUE;mansion;259000;None;4;150;TRUE;FALSE;FALSE;TRUE;None;TRUE;70;None;70;2;FALSE
7;https://www.immoweb.be/en/classified/mansion/for-sale/liege-2/4020/8946726;liege-2;4020;TRUE;mansion;268000;None;4;150;TRUE;FALSE;FALSE;TRUE;None;TRUE;40;None;40;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/st-jan-in-eremo/9982/8844723;st-jan-in-eremo;9982;TRUE;house;445000;None;3;160;TRUE;FALSE;FALSE;FALSE;None;TRUE;None;None;4460;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/galmaarden/1570/8958331;galmaarden;1570;TRUE;house;135000;None;3;165;FALSE;FALSE;FALSE;TRUE;None;FALSE;None;None;682;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/8958327;assebroek;8310;TRUE;house;365000;None;3;140;TRUE;FALSE;TRUE;TRUE;20;TRUE;80;None;300;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/8958325;ixelles;1050;TRUE;house;1290000;None;5;450;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;500;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/soignies/7060/8958324;soignies;7060;TRUE;house;185000;None;4;160;TRUE;FALSE;FALSE;FALSE;None;FALSE;None;None;250;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/winenne/5570/8773861;winenne;5570;TRUE;house;115000;None;2;None;FALSE;FALSE;FALSE;FALSE;None;FALSE;None;None;None;2;FALSE
7;https://www.immoweb.be/en/classified/villa/for-sale/gent/9000/8958323;gent;9000;TRUE;villa;1135000;None;8;468;TRUE;FALSE;TRUE;TRUE;None;FALSE;None;None;1354;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/nameche/5300/8905952;nameche;5300;TRUE;house;275000;None;5;230;TRUE;FALSE;TRUE;TRUE;20;FALSE;None;None;625;4;FALSE
7;https://www.immoweb.be/en/classified/villa/for-sale/bande/6951/8958310;bande;6951;TRUE;villa;260000;None;4;200;TRUE;FALSE;TRUE;TRUE;12;TRUE;None;None;2000;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/herentals/2200/8958307;herentals;2200;TRUE;house;225000;None;4;None;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;197;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/flawinne/5020/8958308;flawinne;5020;TRUE;house;220000;None;3;140;TRUE;FALSE;FALSE;FALSE;None;TRUE;750;None;910;4;FALSE
7;https://www.immoweb.be/en/classified/exceptional-property/for-sale/olne/4877/8916599;olne;4877;TRUE;exceptional-property;365000;None;5;350;TRUE;FALSE;TRUE;TRUE;None;TRUE;450;None;700;3;FALSE
7;https://www.immoweb.be/en/classified/exceptional-property/for-sale/trooz/4870/8949028;trooz;4870;TRUE;exceptional-property;364900;None;5;350;FALSE;FALSE;TRUE;TRUE;None;FALSE;None;None;700;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/8958305;tremelo;3120;TRUE;house;329000;None;2;112;FALSE;FALSE;FALSE;TRUE;None;FALSE;None;None;600;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/honnelles-marchipont/7387/8958303;honnelles-marchipont;7387;TRUE;house;298000;None;3;173;TRUE;FALSE;FALSE;TRUE;69;FALSE;None;None;3420;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/aubange/6791/8958302;aubange;6791;TRUE;house;275000;None;2;141;TRUE;FALSE;FALSE;TRUE;None;TRUE;112;None;203;2;FALSE
7;https://www.immoweb.be/en/classified/exceptional-property/for-sale/rixensart-rosieres/1331/8958301;rixensart-rosieres;1331;TRUE;exceptional-property;1100000;None;7;700;TRUE;FALSE;FALSE;TRUE;40;TRUE;1400;None;1760;4;TRUE
7;https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/8958300;tienen;3300;TRUE;house;175000;None;2;117;TRUE;FALSE;FALSE;TRUE;50;FALSE;None;None;140;2;FALSE
7;https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-servais/5002/8958297;saint-servais;5002;TRUE;apartment-block;300000;None;4;401;TRUE;FALSE;FALSE;TRUE;None;FALSE;None;None;None;3;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/amay/4540/8958296;amay;4540;TRUE;house;239000;None;3;215;TRUE;FALSE;FALSE;TRUE;None;TRUE;1431;None;1659;4;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/schoten/2900/8958294;schoten;2900;TRUE;house;195000;None;2;104;TRUE;FALSE;FALSE;FALSE;None;TRUE;60;None;175;2;FALSE
7;https://www.immoweb.be/en/classified/house/for-sale/antwerp/2000/8958291;antwerp;2000;TRUE;house;589000;None;2;138;TRUE;FALSE;FALSE;TRUE;11;FALSE;None;None;None;2;FALSE
