source ,hyperlink ,locality ,postcode ,house_is ,property_subtype ,price ,sale ,rooms_number ,area ,kitchen_has ,furnished ,open_fire ,terrace ,terrace_area ,garden ,garden_area ,land_surface ,land_plot_surface ,facades_number ,swimming_pool_has ,building_state
2,, Antwerpen-Centrum ,,True,Historische pand," 12,500,000 ", Huis,8,"20.343,79",,False,False,,,,,,"9.181,62",,True,None
2,, Lasne/Ohain ,,True,Établissement historique," 6,500,000 ", Maison,16,18,,False,False,,,,,,"20,01",,True,None
2,, Antwerpen-Noord,,True,Villa," 5,850,000 ", Huis,10,"12.163,22",,False,False,,,,,,"2,3",,True,None
2,, Antwerpen-Noord,,True,Historische pand," 4,950,000 ", Huis,30,"26.909,78",,False,False,,,,,,"4,950,000",,True,None
2,, Sint-Martens-Latem,,True,Historische pand," 4,800,000 ", Huis,0,"11,12",,False,False,,,,,,"4,800,000",,True,None
2,, South and surroundings,,True,Villa," 4,300,000 ", House,7,"6,673.62",,False,False,,,,,,5.66,,True,None
2,, Rhode-Saint-Genèse/Linkebeek ,,True,Villa," 3,900,000 ", House,12,"6,081.61",,False,False,,,,,,"35,520.9",,True,None
2,, Antwerpen-Noord,,True,Villa," 3,850,000 ", Huis,7,"8.395,85",,False,False,,,,,,"2,57",,True,None
2,, Antwerpen-Noord,,True,Villa," 3,750,000 ", Huis,15,"11.840,3",,False,False,,,,,,"2,97",,True,None
2,, Antwerpen-Noord,,True,Villa," 3,750,000 ", Huis,10,"9.687,52",,False,False,,,,,,"3,750,000",,True,None
2,, Bruges,,True,Investering / Woon- en werkruimte," 3,500,000 ", Huis,0,"3,500,000",,False,False,,,,,,None,,True,None
2,, Brussels city center ,,True,Investment / Residential investment," 3,500,000 ", House,0,"3,500,000",,False,False,,,,,,None,,True,None
2,, South and surroundings,,True,Historic Estate," 3,500,000 ", House,11,"10,763.91",,False,False,,,,,,"3,500,000",,True,None
2,, Antwerpen-Noord,,True,Villa," 3,450,000 ", Huis,10,"8.611,13",,False,False,,,,,,"4,46",,True,None
2,, Antwerpen-Noord,,True,Villa," 3,400,000 ", Huis,12,"10.763,91",,False,False,,,,,,"5,93",,True,None
2,, Lasne/Ohain ,,True,Établissement historique," 3,350,000 ", Maison,12,9,,False,False,,,,,,"11,86",,True,None
2,, Antwerpen-Zuid,,True,Villa," 3,175,000 ", House,8,"4,843.76",,False,False,,,,,,"16,899.34",,True,None
2,, Antwerpen-Zuid ,,True,Villa," 3,175,000 ", House,8,"4,843.76",,False,False,,,,,,"16,899.34",,True,None
2,, Lasne/Ohain ,,True,Villa," 3,100,000 ", House,8,"4,305.56",,False,False,,,,,,6.55,,True,None
2,, Keerbergen,,True,Historic Estate," 3,025,000 ", House,19,"13,594.82",,False,False,,,,,,"45,811.2",,True,None
2,, South and surroundings,,True,Villa," 2,995,000 ", House,10,"7,061.13",,False,False,,,,,,"18,072.61",,True,None
2,, Bruges,,True,Investment / Residential investment," 2,995,000 ", House,18,"21,344.83",,False,False,,,,,,"16,092.05",,True,None
2,, Bruges,,True,Historic Estate," 2,995,000 ", House,25,"13,454.89",,False,False,,,,,,"6,910.43",,True,None
2,, Zuid en omstreken,,True,Villa," 2,990,000 ", Huis,9,"5.381,96",,False,False,,,,,,"26.909,78",,True,None
2,, Antwerpen-Centrum ,,True,Huis," 2,950,000 ", Huis,13,"7.491,68",,False,False,,,,,,"2,950,000",,True,None
2,, East and surroundings,,True,Historic Estate," 2,900,000 ", House,13,"9,149.32",,False,False,,,,,,54.36,,True,None
2,, East and surroundings ,,True,Historic Estate," 2,900,000 ", House,13,"9,149.32",,False,False,,,,,,54.36,,True,None
2,, Sud et péripherie,,True,Villa," 2,900,000 ", Maison,8,4,,False,False,,,,,,48,,True,None
2,, Bruges,,True,Historic Estate," 2,870,000 ", House,8,"5,790.98",,False,False,,,,,,"4,251.74",,True,None
2,, Antwerpen-Noord,,True,Villa," 2,850,000 ", Huis,12,"8.072,93",,False,False,,,,,,"9,14",,True,None
2,, Antwerpen-Noord,,True,Villa," 2,795,000 ", Huis,9,"9.515,3",,False,False,,,,,,"32.291,73",,True,None
2,, Antwerpen-Zuid,,True,Villa," 2,750,000 ", Huis,11,"11.000,72",,False,False,,,,,,"12.679,89",,True,None
2,, Antwerpen-Centrum,,True,House," 2,750,000 ", House,15,"7,674.67",,False,False,,,,,,"2,750,000",,True,None
2,, Antwerpen-Noord,,True,Villa," 2,750,000 ", Huis,12,"9.149,32",,False,False,,,,,,"55,43",,True,None
2,, Bruges,,True,Hotel," 2,600,000 ", House,16,"5,468.07",,False,False,,,,,,"11,226.76",,True,None
2,, Antwerpen-Noord,,True,Villa," 2,595,000 ", Huis,9,"8.611,13",,False,False,,,,,,"1,64",,True,None
2,, Noord-Limburg ,,True,Landhuis," 2,500,000 ", Huis,5,"10,13",,False,False,,,,,,"10,16",,True,None
2,, Antwerpen-Centrum ,,True,Historic Estate," 2,500,000 ", House,10,"6,716.68",,False,False,,,,,,"3,315.28",,True,None
2,, South and surroundings,,True,Villa," 2,495,000 ", House,9,"4,305.56",,False,False,,,,,,"17,222.26",,True,None
2,, Lasne/Ohain ,,True,Villa," 2,450,000 ", Maison,12,7,,False,False,,,,,,"2,450,000",,True,None
2,, Antwerpen-Centrum ,,True,Historische pand," 2,430,000 ", Huis,13,"4.800,7",,False,False,,,,,,"2,430,000",,True,None
2,, South and surroundings,,True,Historic Estate," 2,400,000 ", House,20,"3,229.17",,False,False,,,,,,"4,962.16",,True,None
2,, South and surroundings,,True,Villa," 2,350,000 ", House,9,"5,704.87",,False,False,,,,,,"16,468.78",,True,None
2,, Woluwe-Saint-Pierre ,,True,Detached House," 2,300,000 ", House,9,"4,843.76",,False,False,,,,,,"8,223.63",,True,None
2,, South and surroundings,,True,Villa," 2,295,000 ", House,8,"4,391.68",,False,False,,,,,,"20,020.87",,True,None
2,, East and surroundings,,True,Villa," 2,250,000 ", House,13,"6,619.8",,False,False,,,,,,"50,590.38",,True,None
2,, Antwerpen-Noord,,True,Villa," 2,250,000 ", Huis,7,"5.920,15",,False,False,,,,,,"53.819,55",,True,None
