source ,hyperlink ,locality ,postcode ,house_is ,property_subtype ,price ,sale ,rooms_number ,area ,kitchen_has ,furnished ,open_fire ,terrace ,terrace_area ,garden ,garden_area ,land_surface ,Swimming pool,land_plot_surface ,facades_number,swimming_pool_has ,building_state 
2,https://www.realo.be/en/rue-rimiere-105-4120-rotheux-rimiere/1197690?cl=643109546%2C50566321%2C2057869487,"Rue Rimière 105, 4120 Rotheux-Rimière, Neupré",,True,House,0,,0,0,No,No,No,No,,No,,,No,,,,No
2,https://www.realo.be/en/sint-truidensesteenweg-95a-3350-orsmaal-gussenhoven/3179523?l=377470455,"Sint-Truidensesteenweg 95A A, 3350 Orsmaal-Gussenhoven, Linter",,True,House,"



340000

									€ 340.000
					",,3,170m2,No,No,No,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/augustijnenlaan-77-2200-herentals/2453901?l=2019701452,"Augustijnenlaan 77 201, 2200 Herentals",,False,Flat,"



259000

									€ 259.000
					",,2,88m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/averbodesesteenweg-19-2230-herselt/2473822?l=481671361,"Averbodesesteenweg 19, 2230 Herselt",,True,House,"



449000

									€ 449.000
					",,4,303m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/edward-pynaertkaai-21-9050-ledeberg/4273145?l=1189710057,"Edward pynaertkaai 21, 9050 Ledeberg",,False,Flat,"



249900

									€ 249.900
					",,3,102m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/engelstraat-148-9040-sint-amandsberg/4276402?l=2004787780,Zéér RUIME Bel-etage woning met ATELIER,,True,House,"



495000

									€ 495.000
					",,3,244m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/groenplein-33-9060-zelzate/4176805?l=1537490974,"Groenplein 33 302, 9060 Zelzate",,False,Flat,"



159000

									€ 159.000
					",,2,244m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/hoogveldstraat-21-3720-kortessem/5195863?l=1854313933,"Hoogveldstraat 21 D, 3720 Kortessem",,False,Flat,"



219000

									€ 219.000
					",,3,128m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/eerste-meistraat-4-3700-tongeren/5059503,"Eerste-Meistraat 4, 3700 Tongeren",,False,Business,0,,3,128m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/roeselaarsestraat-84-8870-izegem/3741028?l=2043183736,"Roeselaarsestraat 84 8, 8870 Izegem",,False,Flat,"



247000

									€ 247.000
					",,2,125m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/meikeverstraat-12-2250-olen/2545008?l=277147317,"Meikeverstraat 12, 2250 Olen",,True,House,"



379000

									€ 379.000
					",,4,220m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/salvialaan-31-2260-oevel/2607962?l=2108776624,"Salvialaan 31, 2260 Oevel, Westerlo",,True,House,"



265000

									€ 265.000
					",,3,159m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/ellestraat-26-8470-gistel/3623515?l=1390519248,"Ellestraat 26 3, 8470 Gistel",,False,Flat,"



199000

									€ 199.000
					",,2,159m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/venneweg-11-2230-herselt/2479261?l=1631982433,"Venneweg 11, 2230 Herselt, Herselt",,True,House,"



65000

									€ 65.000
					",,1,41m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/venneweg-9-2230-herselt/2479277?l=1242338668,"Venneweg 9, 2230 Herselt, Herselt",,True,House,"



55000

									€ 55.000
					",,1,66m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/leieweg-57-8510-marke/3516050?l=666946341,"Leieweg 57, 8510 Marke",,True,House,"



595000

									€ 595.000
					",,4,282m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/koningin-elisabethlei-1-2300-turnhout/5600937?l=1408283342,"Koningin elisabethlei 1 8, 2300 Turnhout",,False,Flat,"



229000

									€ 229.000
					",,2,89m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/rue-jean-damard-37-4163-tavier/958414?l=1350437099,"Rue jean damard 37, 4163 Tavier, Anthisnes",,True,House,"



385000

									€ 385.000
					",,3,185m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/stationsstraat-29-2200-herentals/2466527?l=141650562,"Stationsstraat 29 214, 2200 Herentals",,False,Flat,"



170000

									€ 170.000
					",,1,51m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/gentse-steenweg-336-9620-leeuwergem/4015453?l=1929522342,"Gentse steenweg 336, 9620 Leeuwergem, Zottegem",,True,House,"



339000

									€ 339.000
					",,3,176m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/nijverheidstraat-40-2300-turnhout/2582439?l=644451446,"Nijverheidstraat 40, 2300 Turnhout",,True,House,"



210000

									€ 210.000
					",,3,150m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/hikstraat-48-2200-herentals/2458238?l=2039529009,"Hikstraat 48, 2200 Herentals",,True,House,"



269000

									€ 269.000
					",,4,179m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/anjelierstraat-65-9000-gent/4247253?l=511503881,"Anjelierstraat 65, 9000 Ghent, Gent",,False,Flat,"



204000

									€ 204.000
					",,2,179m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/oosterwijk-27-2260-tongerlo/2606720?l=577939561,"Oosterwijk 27, 2260 Tongerlo, Westerlo",,True,House,"



170000

									€ 170.000
					",,2,100m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/belikstraat-113-3550-zolder/4863774?l=1011632067,"Belikstraat 113, 3550 Zolder, Heusden-Zolder",,True,House,"



279000

									€ 279.000
					",,3,256m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/vissersstraat-110-8380-zeebrugge/3282403?l=2063923921,"Vissersstraat 110, 8380 Zeebrugge",,True,House,"



199000

									€ 199.000
					",,3,135m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/biddersstraat-27-8000-brugge/3226783?l=607223004,"Biddersstraat 27, 8000 Brugge",,True,House,"



220000

									€ 220.000
					",,2,80m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/molenstraat-2c-9880-aalter/4187339?l=509561831,"Molenstraat 2C, 9880 Aalter",,True,House,"



339000

									€ 339.000
					",,4,210m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/oostakker-40-2290-vorselaar/2592607?l=872762351,"Oostakker 40, 2290 Vorselaar",,True,House,"



230000

									€ 230.000
					",,1,91m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/pieter-de-bruynestraat-35-9300-aalst/5125577?cl=566510222%2C1399173279,"Pieter De Bruynestraat 35, 9300 Aalst",,True,House,"



450000

									€ 450.000
					",,4,222m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/oostbroekstraat-4-8650-merkem/3395556?l=122862117,"Oostbroekstraat 4, 8650 Merkem",,True,House,"



449000

									€ 449.000
					",,4,396m2,No,No,Yes,No,,Yes,,,Yes,,,,No
2,https://www.realo.be/en/pachthoevelaan-14-2180-ekeren/1884028?l=861247094,"Pachthoevelaan 14, 2180 Ekeren",,True,House,"



315000

									€ 315.000
					",,3,155m2,No,No,Yes,No,,Yes,,,Yes,,,,No
